intervalSize      & Ep2_errorFun_full    & Ep4_errorFun_full    & Ep6_errorFun_full    & Ep8_errorFun_full    & Ep2_errorFun_QB    & Ep4_errorFun_QB    & Ep6_errorFun_QB    & Ep8_errorFun_QB    & Ep2_errorFun_Q    & Ep4_errorFun_Q    & Ep6_errorFun_Q    & Ep8_errorFun_Q        
2.409639e-02      & 3.800937e-06         & 1.945418e-10         & 1.694671e-15         & 1.171334e-18         & 3.800937e-06       & 8.272016e-08       & 8.272030e-08       & 8.272030e-08       & 3.800937e-06      & 4.578921e-06      & 4.578891e-06      & 4.578891e-06     
7.228916e-02      & 3.432796e-05         & 1.582439e-08         & 1.509965e-12         & 6.098822e-15         & 3.432796e-05       & 2.232460e-06       & 2.232493e-06       & 2.232493e-06       & 3.432796e-05      & 4.136714e-05      & 4.136475e-05      & 4.136475e-05     
1.204819e-01      & 9.995889e-05         & 1.238421e-07         & 4.171042e-11         & 3.642911e-13         & 9.995889e-05       & 1.049400e-05       & 1.049443e-05       & 1.049443e-05       & 9.995889e-05      & 1.205245e-04      & 1.205063e-04      & 1.205063e-04     
1.686747e-01      & 2.129120e-04         & 4.946726e-07         & 3.984911e-10         & 5.412956e-12         & 2.129120e-04       & 3.016394e-05       & 3.016627e-05       & 3.016627e-05       & 2.129120e-04      & 2.569132e-04      & 2.568424e-04      & 2.568425e-04     
2.168675e-01      & 3.843409e-04         & 1.432363e-06         & 2.230760e-09         & 4.100479e-11         & 3.843409e-04       & 6.802643e-05       & 6.803482e-05       & 6.803483e-05       & 3.843409e-04      & 4.642196e-04      & 4.640195e-04      & 4.640196e-04     
2.650602e-01      & 6.243471e-04         & 3.417119e-06         & 9.027730e-09         & 2.089434e-10         & 6.243471e-04       & 1.319563e-04       & 1.319800e-04       & 1.319801e-04       & 6.243471e-04      & 7.549910e-04      & 7.545258e-04      & 7.545261e-04     
3.132530e-01      & 9.426950e-04         & 7.148633e-06         & 2.933885e-08         & 8.194470e-10         & 9.426950e-04       & 2.306786e-04       & 2.307358e-04       & 2.307359e-04       & 9.426950e-04      & 1.141515e-03      & 1.140569e-03      & 1.140569e-03     
3.614458e-01      & 1.349158e-03         & 1.359302e-05         & 8.132271e-08         & 2.666759e-09         & 1.349158e-03       & 3.736047e-04       & 3.737269e-04       & 3.737271e-04       & 1.349158e-03      & 1.636250e-03      & 1.634506e-03      & 1.634508e-03     
4.096386e-01      & 1.853689e-03         & 2.403359e-05         & 1.996950e-07         & 7.543112e-09         & 1.853689e-03       & 5.707004e-04       & 5.709388e-04       & 5.709393e-04       & 1.853689e-03      & 2.252044e-03      & 2.249065e-03      & 2.249069e-03     
4.578313e-01      & 2.466492e-03         & 4.012487e-05         & 4.456807e-07         & 1.912303e-08         & 2.466492e-03       & 8.323718e-04       & 8.328052e-04       & 8.328063e-04       & 2.466492e-03      & 3.002236e-03      & 2.997441e-03      & 2.997448e-03     
5.060241e-01      & 3.198051e-03         & 6.394896e-05         & 9.205857e-07         & 4.439406e-08         & 3.198051e-03       & 1.169362e-03       & 1.170106e-03       & 1.170108e-03       & 3.198051e-03      & 3.900699e-03      & 3.893342e-03      & 3.893356e-03     
5.542169e-01      & 4.059109e-03         & 9.807307e-05         & 1.783601e-06         & 9.586186e-08         & 4.059109e-03       & 1.592656e-03       & 1.593873e-03       & 1.593877e-03       & 4.059109e-03      & 4.961826e-03      & 4.950983e-03      & 4.951008e-03     
6.024096e-01      & 5.060637e-03         & 1.456073e-04         & 3.274432e-06         & 1.948179e-07         & 5.060637e-03       & 2.113390e-03       & 2.115304e-03       & 2.115312e-03       & 5.060637e-03      & 6.200510e-03      & 6.185052e-03      & 6.185093e-03     
6.506024e-01      & 6.213783e-03         & 2.102616e-04         & 5.741330e-06         & 3.760260e-07         & 6.213783e-03       & 2.742774e-03       & 2.745682e-03       & 2.745696e-03       & 6.213783e-03      & 7.632081e-03      & 7.610662e-03      & 7.610728e-03     
6.987952e-01      & 7.529806e-03         & 2.964011e-04         & 9.675044e-06         & 6.942600e-07         & 7.529806e-03       & 3.492006e-03       & 3.496299e-03       & 3.496322e-03       & 7.529806e-03      & 9.272252e-03      & 9.243288e-03      & 9.243388e-03     
7.469880e-01      & 9.020017e-03         & 4.090987e-04         & 1.574918e-05         & 1.233211e-06         & 9.020017e-03       & 4.372209e-03       & 4.378387e-03       & 4.378425e-03       & 9.020017e-03      & 1.113704e-02      & 1.109870e-02      & 1.109884e-02     
7.951807e-01      & 1.069571e-02         & 5.541847e-04         & 2.486741e-05         & 2.117367e-06         & 1.069571e-02       & 5.394361e-03       & 5.403054e-03       & 5.403114e-03       & 1.069571e-02      & 1.324271e-02      & 1.319287e-02      & 1.319308e-02     
8.433735e-01      & 1.256809e-02         & 7.382928e-04         & 3.821785e-05         & 3.527579e-06         & 1.256809e-02       & 6.569235e-03       & 6.581227e-03       & 6.581318e-03       & 1.256809e-02      & 1.560567e-02      & 1.554194e-02      & 1.554224e-02     
8.915663e-01      & 1.464821e-02         & 9.689012e-04         & 5.733494e-05         & 5.721107e-06         & 1.464821e-02       & 7.907343e-03       & 7.923599e-03       & 7.923735e-03       & 1.464821e-02      & 1.824245e-02      & 1.816212e-02      & 1.816253e-02     
9.397590e-01      & 1.694694e-02         & 1.254370e-03         & 8.416904e-05         & 9.057065e-06         & 1.694694e-02       & 9.418891e-03       & 9.440580e-03       & 9.440778e-03       & 1.694694e-02      & 2.116959e-02      & 2.106962e-02      & 2.107016e-02     
9.879518e-01      & 1.947486e-02         & 1.603974e-03         & 1.211638e-04         & 1.402829e-05         & 1.947486e-02       & 1.111373e-02       & 1.114226e-02       & 1.114254e-02       & 1.947486e-02      & 2.440357e-02      & 2.428059e-02      & 2.428131e-02     
1.036145e+00      & 2.224224e-02         & 2.027928e-03         & 1.713418e-04         & 2.130076e-05         & 2.224224e-02       & 1.300133e-02       & 1.303837e-02       & 1.303877e-02       & 2.224224e-02      & 2.796082e-02      & 2.781108e-02      & 2.781200e-02     
1.084337e+00      & 2.525901e-02         & 2.537410e-03         & 2.383974e-04         & 3.176175e-05         & 2.525901e-02       & 1.509072e-02       & 1.513826e-02       & 1.513881e-02       & 2.525901e-02      & 3.185758e-02      & 3.167695e-02      & 3.167813e-02     
1.132530e+00      & 2.853471e-02         & 3.144581e-03         & 3.267981e-04         & 4.657821e-05         & 2.853471e-02       & 1.739050e-02       & 1.745086e-02       & 1.745160e-02       & 2.853471e-02      & 3.610991e-02      & 3.589387e-02      & 3.589536e-02     
1.180723e+00      & 3.207844e-02         & 3.862590e-03         & 4.418936e-04         & 6.726655e-05         & 3.207844e-02       & 1.990880e-02       & 1.998467e-02       & 1.998567e-02       & 3.207844e-02      & 4.073365e-02      & 4.047723e-02      & 4.047906e-02     
1.228916e+00      & 3.589886e-02         & 4.705590e-03         & 5.900318e-04         & 9.577571e-05         & 3.589886e-02       & 2.265325e-02       & 2.274776e-02       & 2.274908e-02       & 3.589886e-02      & 4.574434e-02      & 4.544213e-02      & 4.544436e-02     
1.277108e+00      & 4.000418e-02         & 5.688734e-03         & 7.786823e-04         & 1.345848e-04         & 4.000418e-02       & 2.563098e-02       & 2.574774e-02       & 2.574945e-02       & 4.000418e-02      & 5.115721e-02      & 5.080333e-02      & 5.080603e-02     
1.325301e+00      & 4.440211e-02         & 6.828178e-03         & 1.016567e-03         & 1.868172e-04         & 4.440211e-02       & 2.884864e-02       & 2.899174e-02       & 2.899395e-02       & 4.440211e-02      & 5.698720e-02      & 5.657525e-02      & 5.657847e-02     
1.373494e+00      & 4.909988e-02         & 8.141071e-03         & 1.313799e-03         & 2.563730e-04         & 4.909988e-02       & 3.231234e-02       & 3.248647e-02       & 3.248929e-02       & 4.909988e-02      & 6.324887e-02      & 6.277195e-02      & 6.277574e-02     
1.421687e+00      & 5.410423e-02         & 9.645549e-03         & 1.682021e-03         & 3.480813e-04         & 5.410423e-02       & 3.602769e-02       & 3.623816e-02       & 3.624173e-02       & 5.410423e-02      & 6.995641e-02      & 6.940706e-02      & 6.941148e-02     
1.469880e+00      & 5.942141e-02         & 1.136072e-02         & 2.134561e-03         & 4.678747e-04         & 5.942141e-02       & 3.999982e-02       & 4.025259e-02       & 4.025706e-02       & 5.942141e-02      & 7.712365e-02      & 7.649384e-02      & 7.649892e-02     
1.518072e+00      & 6.505718e-02         & 1.330666e-02         & 2.686581e-03         & 6.229874e-04         & 6.505718e-02       & 4.423332e-02       & 4.453511e-02       & 4.454067e-02       & 6.505718e-02      & 8.476402e-02      & 8.404510e-02      & 8.405089e-02     
1.566265e+00      & 7.101682e-02         & 1.550436e-02         & 3.355240e-03         & 8.221795e-04         & 7.101682e-02       & 4.873233e-02       & 4.909063e-02       & 4.909749e-02       & 7.101682e-02      & 9.289058e-02      & 9.207327e-02      & 9.207979e-02     
1.614458e+00      & 7.730515e-02         & 1.797577e-02         & 4.159859e-03         & 1.075989e-03         & 7.730515e-02       & 5.350048e-02       & 5.392367e-02       & 5.393205e-02       & 7.730515e-02      & 1.015160e-01      & 1.005903e-01      & 1.005976e-01     
1.662651e+00      & 8.392651e-02         & 2.074369e-02         & 5.122085e-03         & 1.397014e-03         & 8.392651e-02       & 5.854096e-02       & 5.903832e-02       & 5.904850e-02       & 8.392651e-02      & 1.106524e-01      & 1.096079e-01      & 1.096158e-01     
1.710843e+00      & 9.088481e-02         & 2.383184e-02         & 6.266067e-03         & 1.800226e-03         & 9.088481e-02       & 6.385650e-02       & 6.443831e-02       & 6.445059e-02       & 9.088481e-02      & 1.203118e-01      & 1.191370e-01      & 1.191456e-01     
1.759036e+00      & 9.818356e-02         & 2.726476e-02         & 7.618628e-03         & 2.303319e-03         & 9.818356e-02       & 6.944939e-02       & 7.012701e-02       & 7.014172e-02       & 9.818356e-02      & 1.305057e-01      & 1.291884e-01      & 1.291976e-01     
1.807229e+00      & 1.058258e-01         & 3.106782e-02         & 9.209448e-03         & 2.927093e-03         & 1.058258e-01       & 7.532152e-02       & 7.610743e-02       & 7.612496e-02       & 1.058258e-01      & 1.412451e-01      & 1.397725e-01      & 1.397822e-01     
1.855422e+00      & 1.138143e-01         & 3.526720e-02         & 1.107124e-02         & 3.695875e-03         & 1.138143e-01       & 8.147439e-02       & 8.238229e-02       & 8.240304e-02       & 1.138143e-01      & 1.525407e-01      & 1.508992e-01      & 1.509091e-01     
