intervalSize      & Ep2_errorFun    & Ep4_errorFun    & Ep6_errorFun    & Ep8_errorFun        
2.409639e-02      & 3.950555e-05    & 3.369077e-09    & 4.135295e-14    & 2.815535e-17       
7.228916e-02      & 3.571562e-04    & 2.737341e-07    & 3.801102e-11    & 1.908970e-13       
1.204819e-01      & 1.041941e-03    & 2.137559e-06    & 1.075344e-09    & 1.147860e-11       
1.686747e-01      & 2.224980e-03    & 8.512686e-06    & 1.041047e-08    & 1.722241e-10       
2.168675e-01      & 4.029519e-03    & 2.456073e-05    & 5.872211e-08    & 1.320638e-09       
2.650602e-01      & 6.571890e-03    & 5.835605e-05    & 2.388127e-07    & 6.825017e-09       
3.132530e-01      & 9.969710e-03    & 1.215457e-04    & 7.788990e-07    & 2.718648e-08       
3.614458e-01      & 1.434627e-02    & 2.300555e-04    & 2.165320e-06    & 8.995586e-08       
4.096386e-01      & 1.983311e-02    & 4.048548e-04    & 5.331014e-06    & 2.588889e-07       
4.578313e-01      & 2.657173e-02    & 6.727781e-04    & 1.192730e-05    & 6.680459e-07       
5.060241e-01      & 3.471468e-02    & 1.067393e-03    & 2.469746e-05    & 1.578752e-06       
5.542169e-01      & 4.442644e-02    & 1.629904e-03    & 4.797142e-05    & 3.469999e-06       
6.024096e-01      & 5.588402e-02    & 2.410069e-03    & 8.830169e-05    & 7.175975e-06       
6.506024e-01      & 6.927747e-02    & 3.467117e-03    & 1.552613e-04    & 1.408801e-05       
6.987952e-01      & 8.481028e-02    & 4.870639e-03    & 2.624254e-04    & 2.644216e-05       
7.469880e-01      & 1.026997e-01    & 6.701435e-03    & 4.285599e-04    & 4.771826e-05       
7.951807e-01      & 1.231773e-01    & 9.052287e-03    & 6.790409e-04    & 8.318084e-05       
8.433735e-01      & 1.464888e-01    & 1.202863e-02    & 1.047533e-03    & 1.405978e-04       
8.915663e-01      & 1.728951e-01    & 1.574908e-02    & 1.577952e-03    & 2.311776e-04       
9.397590e-01      & 2.026721e-01    & 2.034586e-02    & 2.326760e-03    & 3.707725e-04       
9.879518e-01      & 2.361113e-01    & 2.596489e-02    & 3.365608e-03    & 5.813987e-04       
1.036145e+00      & 2.735202e-01    & 3.276583e-02    & 4.784404e-03    & 8.931321e-04       
1.084337e+00      & 3.152228e-01    & 4.092167e-02    & 6.694846e-03    & 1.346440e-03       
1.132530e+00      & 3.615599e-01    & 5.061807e-02    & 9.234499e-03    & 1.995016e-03       
1.180723e+00      & 4.128897e-01    & 6.205235e-02    & 1.257151e-02    & 2.909179e-03       
1.228916e+00      & 4.695883e-01    & 7.543195e-02    & 1.691008e-02    & 4.179904e-03       
1.277108e+00      & 5.320502e-01    & 9.097256e-02    & 2.249682e-02    & 5.923535e-03       
1.325301e+00      & 6.006891e-01    & 1.088955e-01    & 2.962817e-02    & 8.287224e-03       
1.373494e+00      & 6.759379e-01    & 1.294248e-01    & 3.865917e-02    & 1.145511e-02       
1.421687e+00      & 7.582501e-01    & 1.527831e-01    & 5.001374e-02    & 1.565518e-02       
1.469880e+00      & 8.480998e-01    & 1.791874e-01    & 6.419695e-02    & 2.116683e-02       
1.518072e+00      & 9.459825e-01    & 2.088438e-01    & 8.180958e-02    & 2.832873e-02       
1.566265e+00      & 1.052416e+00    & 2.419410e-01    & 1.035656e-01    & 3.754700e-02       
1.614458e+00      & 1.167941e+00    & 2.786436e-01    & 1.303132e-01    & 4.930290e-02       
1.662651e+00      & 1.293121e+00    & 3.190837e-01    & 1.630600e-01    & 6.415962e-02       
1.710843e+00      & 1.428545e+00    & 3.633526e-01    & 2.030036e-01    & 8.276690e-02       
1.759036e+00      & 1.574825e+00    & 4.114902e-01    & 2.515684e-01    & 1.058622e-01       
1.807229e+00      & 1.732600e+00    & 4.634747e-01    & 3.104505e-01    & 1.342667e-01       
1.855422e+00      & 1.902536e+00    & 5.192111e-01    & 3.816711e-01    & 1.688725e-01       
1.903614e+00      & 2.085325e+00    & 5.785193e-01    & 4.676422e-01    & 2.106190e-01       
1.951807e+00      & 2.281687e+00    & 6.411223e-01    & 5.712450e-01    & 2.604530e-01       
2.000000e+00      & 2.492371e+00    & 7.066346e-01    & 6.959246e-01    & 3.192660e-01       
2.048193e+00      & 2.718155e+00    & 7.745532e-01    & 8.458045e-01    & 3.878034e-01       
2.096386e+00      & 2.959849e+00    & 8.442507e-01    & 1.025823e+00    & 4.665346e-01       
2.144578e+00      & 3.218291e+00    & 9.149751e-01    & 1.241896e+00    & 5.554752e-01       
2.192771e+00      & 3.494353e+00    & 9.858584e-01    & 1.501117e+00    & 6.539500e-01       
2.240964e+00      & 3.788941e+00    & 1.055941e+00    & 1.811982e+00    & 7.602887e-01       
2.289157e+00      & 4.102992e+00    & 1.124217e+00    & 2.184676e+00    & 8.714533e-01       
2.337349e+00      & 4.437479e+00    & 1.189725e+00    & 2.631391e+00    & 9.826220e-01       
2.385542e+00      & 4.793410e+00    & 1.251683e+00    & 3.166719e+00    & 1.086817e+00       
2.433735e+00      & 5.171828e+00    & 1.309723e+00    & 3.808106e+00    & 1.174839e+00       
2.481928e+00      & 5.573815e+00    & 1.364253e+00    & 4.576386e+00    & 1.236261e+00       
2.530120e+00      & 6.000490e+00    & 1.416994e+00    & 5.496406e+00    & 1.263644e+00       
2.578313e+00      & 6.453012e+00    & 1.471753e+00    & 6.597760e+00    & 1.266217e+00       
2.626506e+00      & 6.932577e+00    & 1.535412e+00    & 7.915642e+00    & 1.306557e+00       
2.674699e+00      & 7.440425e+00    & 1.618949e+00    & 9.491831e+00    & 1.552664e+00       
2.722892e+00      & 7.977836e+00    & 1.738032e+00    & 1.137585e+01    & 2.227576e+00       
2.771084e+00      & 8.546132e+00    & 1.912484e+00    & 1.362628e+01    & 3.481234e+00       
2.819277e+00      & 9.146679e+00    & 2.164308e+00    & 1.631230e+01    & 5.436712e+00       
2.867470e+00      & 9.780890e+00    & 2.515066e+00    & 1.951548e+01    & 8.270296e+00       
2.915663e+00      & 1.045022e+01    & 2.984199e+00    & 2.333176e+01    & 1.223219e+01       
2.963855e+00      & 1.115617e+01    & 3.589115e+00    & 2.787382e+01    & 1.765546e+01       
3.012048e+00      & 1.190029e+01    & 4.346462e+00    & 3.327373e+01    & 2.497019e+01       
3.060241e+00      & 1.268419e+01    & 5.273569e+00    & 3.968598e+01    & 3.472382e+01       
3.108434e+00      & 1.350950e+01    & 6.389517e+00    & 4.729098e+01    & 4.760743e+01       
3.156627e+00      & 1.437793e+01    & 7.715786e+00    & 5.629899e+01    & 6.448834e+01       
3.204819e+00      & 1.529123e+01    & 9.276634e+00    & 6.695459e+01    & 8.644990e+01       
3.253012e+00      & 1.625119e+01    & 1.109934e+01    & 7.954181e+01    & 1.148396e+02       
3.301205e+00      & 1.725969e+01    & 1.321441e+01    & 9.438983e+01    & 1.513272e+02       
3.349398e+00      & 1.831862e+01    & 1.565575e+01    & 1.118795e+02    & 1.979743e+02       
3.397590e+00      & 1.942995e+01    & 1.846091e+01    & 1.324507e+02    & 2.573178e+02       
3.445783e+00      & 2.059571e+01    & 2.167129e+01    & 1.566105e+02    & 3.324690e+02       
3.493976e+00      & 2.181798e+01    & 2.533239e+01    & 1.849427e+02    & 4.272325e+02       
3.542169e+00      & 2.309890e+01    & 2.949415e+01    & 2.181177e+02    & 5.462465e+02       
3.590361e+00      & 2.444067e+01    & 3.421119e+01    & 2.569048e+02    & 6.951494e+02       
3.638554e+00      & 2.584554e+01    & 3.954318e+01    & 3.021851e+02    & 8.807763e+02       
3.686747e+00      & 2.731585e+01    & 4.555519e+01    & 3.549656e+02    & 1.111391e+03       
3.734940e+00      & 2.885399e+01    & 5.231808e+01    & 4.163963e+02    & 1.396961e+03       
3.783133e+00      & 3.046239e+01    & 5.990890e+01    & 4.877876e+02    & 1.749473e+03       
3.831325e+00      & 3.214358e+01    & 6.841134e+01    & 5.706312e+02    & 2.183314e+03       
3.879518e+00      & 3.390015e+01    & 7.791616e+01    & 6.666220e+02    & 2.715707e+03       
3.927711e+00      & 3.573475e+01    & 8.852169e+01    & 7.776834e+02    & 3.367226e+03       
3.975904e+00      & 3.765009e+01    & 1.003344e+02    & 9.059946e+02    & 4.162391e+03       
4.024096e+00      & 3.964897e+01    & 1.134693e+02    & 1.054022e+03    & 5.130361e+03       
4.072289e+00      & 4.173425e+01    & 1.280507e+02    & 1.224551e+03    & 6.305745e+03       
4.120482e+00      & 4.390888e+01    & 1.442127e+02    & 1.420728e+03    & 7.729529e+03       
4.168675e+00      & 4.617585e+01    & 1.620998e+02    & 1.646095e+03    & 9.450161e+03       
4.216867e+00      & 4.853826e+01    & 1.818678e+02    & 1.904640e+03    & 1.152479e+04       
4.265060e+00      & 5.099926e+01    & 2.036840e+02    & 2.200848e+03    & 1.402073e+04       
4.313253e+00      & 5.356210e+01    & 2.277288e+02    & 2.539751e+03    & 1.701705e+04       
4.361446e+00      & 5.623009e+01    & 2.541954e+02    & 2.926994e+03    & 2.060657e+04       
